role,class,name,username,password,linked_parent,admission
student,8A,Zaid Begum,student_8a_14,student1234,parent_8a_14,8A-014
parent,8A,Zaid Begum,parent_8a_14,parent1234,,8A-014
student,8A,Khalid Qureshi,student_8a_15,student1234,parent_8a_15,8A-015
parent,8A,Khalid Qureshi,parent_8a_15,parent1234,,8A-015
student,8A,Hassan Hassan,student_8a_16,student1234,parent_8a_16,8A-016
parent,8A,Hassan Hassan,parent_8a_16,parent1234,,8A-016
student,8A,Ali Ali,student_8a_17,student1234,parent_8a_17,8A-017
parent,8A,Ali Ali,parent_8a_17,parent1234,,8A-017
student,8A,Adam Hussain,student_8a_18,student1234,parent_8a_18,8A-018
parent,8A,Adam Hussain,parent_8a_18,parent1234,,8A-018
student,8A,Idris Begum,student_8a_19,student1234,parent_8a_19,8A-019
parent,8A,Idris Begum,parent_8a_19,parent1234,,8A-019
student,8A,Bilal Qureshi,student_8a_20,student1234,parent_8a_20,8A-020
parent,8A,Bilal Qureshi,parent_8a_20,parent1234,,8A-020
student,8A,Musa Hassan,student_8a_21,student1234,parent_8a_21,8A-021
parent,8A,Musa Hassan,parent_8a_21,parent1234,,8A-021
student,8A,Isa Ali,student_8a_22,student1234,parent_8a_22,8A-022
parent,8A,Isa Ali,parent_8a_22,parent1234,,8A-022
student,8A,Salman Hussain,student_8a_23,student1234,parent_8a_23,8A-023
parent,8A,Salman Hussain,parent_8a_23,parent1234,,8A-023
student,8A,Tariq Begum,student_8a_24,student1234,parent_8a_24,8A-024
parent,8A,Tariq Begum,parent_8a_24,parent1234,,8A-024
student,8A,Layla Qureshi,student_8a_25,student1234,parent_8a_25,8A-025
parent,8A,Layla Qureshi,parent_8a_25,parent1234,,8A-025
student,8A,Noor Hassan,student_8a_26,student1234,parent_8a_26,8A-026
parent,8A,Noor Hassan,parent_8a_26,parent1234,,8A-026
student,8A,Sumaya Ali,student_8a_27,student1234,parent_8a_27,8A-027
parent,8A,Sumaya Ali,parent_8a_27,parent1234,,8A-027
student,8A,Rania Hussain,student_8a_28,student1234,parent_8a_28,8A-028
parent,8A,Rania Hussain,parent_8a_28,parent1234,,8A-028
student,8A,Yasmin Begum,student_8a_29,student1234,parent_8a_29,8A-029
parent,8A,Yasmin Begum,parent_8a_29,parent1234,,8A-029
student,8A,Safiya Qureshi,student_8a_30,student1234,parent_8a_30,8A-030
parent,8A,Safiya Qureshi,parent_8a_30,parent1234,,8A-030
student,8B,Amina Hassan,student_8b_01,student1234,parent_8b_01,8B-001
parent,8B,Amina Hassan,parent_8b_01,parent1234,,8B-001
student,8B,Fatima Ali,student_8b_02,student1234,parent_8b_02,8B-002
parent,8B,Fatima Ali,parent_8b_02,parent1234,,8B-002
student,8B,Maryam Hussain,student_8b_03,student1234,parent_8b_03,8B-003
parent,8B,Maryam Hussain,parent_8b_03,parent1234,,8B-003
student,8B,Sara Begum,student_8b_04,student1234,parent_8b_04,8B-004
parent,8B,Sara Begum,parent_8b_04,parent1234,,8B-004
student,8B,Hafsa Qureshi,student_8b_05,student1234,parent_8b_05,8B-005
parent,8B,Hafsa Qureshi,parent_8b_05,parent1234,,8B-005
student,8B,Zainab Hassan,student_8b_06,student1234,parent_8b_06,8B-006
parent,8B,Zainab Hassan,parent_8b_06,parent1234,,8B-006
student,8B,Aisha Ali,student_8b_07,student1234,parent_8b_07,8B-007
parent,8B,Aisha Ali,parent_8b_07,parent1234,,8B-007
student,8B,Khadija Hussain,student_8b_08,student1234,parent_8b_08,8B-008
parent,8B,Khadija Hussain,parent_8b_08,parent1234,,8B-008
student,8B,Ahmed Begum,student_8b_09,student1234,parent_8b_09,8B-009
parent,8B,Ahmed Begum,parent_8b_09,parent1234,,8B-009
student,8B,Omar Qureshi,student_8b_10,student1234,parent_8b_10,8B-010
parent,8B,Omar Qureshi,parent_8b_10,parent1234,,8B-010
student,8B,Yusuf Hassan,student_8b_11,student1234,parent_8b_11,8B-011
parent,8B,Yusuf Hassan,parent_8b_11,parent1234,,8B-011
student,8B,Ibrahim Ali,student_8b_12,student1234,parent_8b_12,8B-012
parent,8B,Ibrahim Ali,parent_8b_12,parent1234,,8B-012
student,8B,Hamza Hussain,student_8b_13,student1234,parent_8b_13,8B-013
parent,8B,Hamza Hussain,parent_8b_13,parent1234,,8B-013
student,8B,Zaid Begum,student_8b_14,student1234,parent_8b_14,8B-014
parent,8B,Zaid Begum,parent_8b_14,parent1234,,8B-014
student,8B,Khalid Qureshi,student_8b_15,student1234,parent_8b_15,8B-015
parent,8B,Khalid Qureshi,parent_8b_15,parent1234,,8B-015
student,8B,Hassan Hassan,student_8b_16,student1234,parent_8b_16,8B-016
parent,8B,Hassan Hassan,parent_8b_16,parent1234,,8B-016
student,8B,Ali Ali,student_8b_17,student1234,parent_8b_17,8B-017
parent,8B,Ali Ali,parent_8b_17,parent1234,,8B-017
student,8B,Adam Hussain,student_8b_18,student1234,parent_8b_18,8B-018
parent,8B,Adam Hussain,parent_8b_18,parent1234,,8B-018
student,8B,Idris Begum,student_8b_19,student1234,parent_8b_19,8B-019
parent,8B,Idris Begum,parent_8b_19,parent1234,,8B-019
student,8B,Bilal Qureshi,student_8b_20,student1234,parent_8b_20,8B-020
parent,8B,Bilal Qureshi,parent_8b_20,parent1234,,8B-020
student,8B,Musa Hassan,student_8b_21,student1234,parent_8b_21,8B-021
parent,8B,Musa Hassan,parent_8b_21,parent1234,,8B-021
student,8B,Isa Ali,student_8b_22,student1234,parent_8b_22,8B-022
parent,8B,Isa Ali,parent_8b_22,parent1234,,8B-022
student,8B,Salman Hussain,student_8b_23,student1234,parent_8b_23,8B-023
parent,8B,Salman Hussain,parent_8b_23,parent1234,,8B-023
student,8B,Tariq Begum,student_8b_24,student1234,parent_8b_24,8B-024
parent,8B,Tariq Begum,parent_8b_24,parent1234,,8B-024
student,8B,Layla Qureshi,student_8b_25,student1234,parent_8b_25,8B-025
parent,8B,Layla Qureshi,parent_8b_25,parent1234,,8B-025
student,8B,Noor Hassan,student_8b_26,student1234,parent_8b_26,8B-026
parent,8B,Noor Hassan,parent_8b_26,parent1234,,8B-026
student,8B,Sumaya Ali,student_8b_27,student1234,parent_8b_27,8B-027
parent,8B,Sumaya Ali,parent_8b_27,parent1234,,8B-027
student,8B,Rania Hussain,student_8b_28,student1234,parent_8b_28,8B-028
parent,8B,Rania Hussain,parent_8b_28,parent1234,,8B-028
student,8B,Yasmin Begum,student_8b_29,student1234,parent_8b_29,8B-029
parent,8B,Yasmin Begum,parent_8b_29,parent1234,,8B-029
student,8B,Safiya Qureshi,student_8b_30,student1234,parent_8b_30,8B-030
parent,8B,Safiya Qureshi,parent_8b_30,parent1234,,8B-030
student,9A,Amina Hassan,student_9a_01,student1234,parent_9a_01,9A-001
parent,9A,Amina Hassan,parent_9a_01,parent1234,,9A-001
student,9A,Fatima Ali,student_9a_02,student1234,parent_9a_02,9A-002
parent,9A,Fatima Ali,parent_9a_02,parent1234,,9A-002
student,9A,Maryam Hussain,student_9a_03,student1234,parent_9a_03,9A-003
parent,9A,Maryam Hussain,parent_9a_03,parent1234,,9A-003
student,9A,Sara Begum,student_9a_04,student1234,parent_9a_04,9A-004
parent,9A,Sara Begum,parent_9a_04,parent1234,,9A-004
student,9A,Hafsa Qureshi,student_9a_05,student1234,parent_9a_05,9A-005
parent,9A,Hafsa Qureshi,parent_9a_05,parent1234,,9A-005
student,9A,Zainab Hassan,student_9a_06,student1234,parent_9a_06,9A-006
parent,9A,Zainab Hassan,parent_9a_06,parent1234,,9A-006
student,9A,Aisha Ali,student_9a_07,student1234,parent_9a_07,9A-007
parent,9A,Aisha Ali,parent_9a_07,parent1234,,9A-007
student,9A,Khadija Hussain,student_9a_08,student1234,parent_9a_08,9A-008
parent,9A,Khadija Hussain,parent_9a_08,parent1234,,9A-008
student,9A,Ahmed Begum,student_9a_09,student1234,parent_9a_09,9A-009
parent,9A,Ahmed Begum,parent_9a_09,parent1234,,9A-009
student,9A,Omar Qureshi,student_9a_10,student1234,parent_9a_10,9A-010
parent,9A,Omar Qureshi,parent_9a_10,parent1234,,9A-010
student,9A,Yusuf Hassan,student_9a_11,student1234,parent_9a_11,9A-011
parent,9A,Yusuf Hassan,parent_9a_11,parent1234,,9A-011
student,9A,Ibrahim Ali,student_9a_12,student1234,parent_9a_12,9A-012
parent,9A,Ibrahim Ali,parent_9a_12,parent1234,,9A-012
student,9A,Hamza Hussain,student_9a_13,student1234,parent_9a_13,9A-013
parent,9A,Hamza Hussain,parent_9a_13,parent1234,,9A-013
student,9A,Zaid Begum,student_9a_14,student1234,parent_9a_14,9A-014
parent,9A,Zaid Begum,parent_9a_14,parent1234,,9A-014
student,9A,Khalid Qureshi,student_9a_15,student1234,parent_9a_15,9A-015
parent,9A,Khalid Qureshi,parent_9a_15,parent1234,,9A-015
student,9A,Hassan Hassan,student_9a_16,student1234,parent_9a_16,9A-016
parent,9A,Hassan Hassan,parent_9a_16,parent1234,,9A-016
student,9A,Ali Ali,student_9a_17,student1234,parent_9a_17,9A-017
parent,9A,Ali Ali,parent_9a_17,parent1234,,9A-017
student,9A,Adam Hussain,student_9a_18,student1234,parent_9a_18,9A-018
parent,9A,Adam Hussain,parent_9a_18,parent1234,,9A-018
student,9A,Idris Begum,student_9a_19,student1234,parent_9a_19,9A-019
parent,9A,Idris Begum,parent_9a_19,parent1234,,9A-019
student,9A,Bilal Qureshi,student_9a_20,student1234,parent_9a_20,9A-020
parent,9A,Bilal Qureshi,parent_9a_20,parent1234,,9A-020
student,9A,Musa Hassan,student_9a_21,student1234,parent_9a_21,9A-021
parent,9A,Musa Hassan,parent_9a_21,parent1234,,9A-021
student,9A,Isa Ali,student_9a_22,student1234,parent_9a_22,9A-022
parent,9A,Isa Ali,parent_9a_22,parent1234,,9A-022
student,9A,Salman Hussain,student_9a_23,student1234,parent_9a_23,9A-023
parent,9A,Salman Hussain,parent_9a_23,parent1234,,9A-023
student,9A,Tariq Begum,student_9a_24,student1234,parent_9a_24,9A-024
parent,9A,Tariq Begum,parent_9a_24,parent1234,,9A-024
student,9A,Layla Qureshi,student_9a_25,student1234,parent_9a_25,9A-025
parent,9A,Layla Qureshi,parent_9a_25,parent1234,,9A-025
student,9A,Noor Hassan,student_9a_26,student1234,parent_9a_26,9A-026
parent,9A,Noor Hassan,parent_9a_26,parent1234,,9A-026
student,9A,Sumaya Ali,student_9a_27,student1234,parent_9a_27,9A-027
parent,9A,Sumaya Ali,parent_9a_27,parent1234,,9A-027
student,9A,Rania Hussain,student_9a_28,student1234,parent_9a_28,9A-028
parent,9A,Rania Hussain,parent_9a_28,parent1234,,9A-028
student,9A,Yasmin Begum,student_9a_29,student1234,parent_9a_29,9A-029
parent,9A,Yasmin Begum,parent_9a_29,parent1234,,9A-029
student,9A,Safiya Qureshi,student_9a_30,student1234,parent_9a_30,9A-030
parent,9A,Safiya Qureshi,parent_9a_30,parent1234,,9A-030
student,9B,Amina Hassan,student_9b_01,student1234,parent_9b_01,9B-001
parent,9B,Amina Hassan,parent_9b_01,parent1234,,9B-001
student,9B,Fatima Ali,student_9b_02,student1234,parent_9b_02,9B-002
parent,9B,Fatima Ali,parent_9b_02,parent1234,,9B-002
student,9B,Maryam Hussain,student_9b_03,student1234,parent_9b_03,9B-003
parent,9B,Maryam Hussain,parent_9b_03,parent1234,,9B-003
student,9B,Sara Begum,student_9b_04,student1234,parent_9b_04,9B-004
parent,9B,Sara Begum,parent_9b_04,parent1234,,9B-004
student,9B,Hafsa Qureshi,student_9b_05,student1234,parent_9b_05,9B-005
parent,9B,Hafsa Qureshi,parent_9b_05,parent1234,,9B-005
student,9B,Zainab Hassan,student_9b_06,student1234,parent_9b_06,9B-006
parent,9B,Zainab Hassan,parent_9b_06,parent1234,,9B-006
student,9B,Aisha Ali,student_9b_07,student1234,parent_9b_07,9B-007
parent,9B,Aisha Ali,parent_9b_07,parent1234,,9B-007
student,9B,Khadija Hussain,student_9b_08,student1234,parent_9b_08,9B-008
parent,9B,Khadija Hussain,parent_9b_08,parent1234,,9B-008
student,9B,Ahmed Begum,student_9b_09,student1234,parent_9b_09,9B-009
parent,9B,Ahmed Begum,parent_9b_09,parent1234,,9B-009
student,9B,Omar Qureshi,student_9b_10,student1234,parent_9b_10,9B-010
parent,9B,Omar Qureshi,parent_9b_10,parent1234,,9B-010
student,9B,Yusuf Hassan,student_9b_11,student1234,parent_9b_11,9B-011
parent,9B,Yusuf Hassan,parent_9b_11,parent1234,,9B-011
student,9B,Ibrahim Ali,student_9b_12,student1234,parent_9b_12,9B-012
parent,9B,Ibrahim Ali,parent_9b_12,parent1234,,9B-012
student,9B,Hamza Hussain,student_9b_13,student1234,parent_9b_13,9B-013
parent,9B,Hamza Hussain,parent_9b_13,parent1234,,9B-013
student,9B,Zaid Begum,student_9b_14,student1234,parent_9b_14,9B-014
parent,9B,Zaid Begum,parent_9b_14,parent1234,,9B-014
student,9B,Khalid Qureshi,student_9b_15,student1234,parent_9b_15,9B-015
parent,9B,Khalid Qureshi,parent_9b_15,parent1234,,9B-015
student,9B,Hassan Hassan,student_9b_16,student1234,parent_9b_16,9B-016
parent,9B,Hassan Hassan,parent_9b_16,parent1234,,9B-016
student,9B,Ali Ali,student_9b_17,student1234,parent_9b_17,9B-017
parent,9B,Ali Ali,parent_9b_17,parent1234,,9B-017
student,9B,Adam Hussain,student_9b_18,student1234,parent_9b_18,9B-018
parent,9B,Adam Hussain,parent_9b_18,parent1234,,9B-018
student,9B,Idris Begum,student_9b_19,student1234,parent_9b_19,9B-019
parent,9B,Idris Begum,parent_9b_19,parent1234,,9B-019
student,9B,Bilal Qureshi,student_9b_20,student1234,parent_9b_20,9B-020
parent,9B,Bilal Qureshi,parent_9b_20,parent1234,,9B-020
student,9B,Musa Hassan,student_9b_21,student1234,parent_9b_21,9B-021
parent,9B,Musa Hassan,parent_9b_21,parent1234,,9B-021
student,9B,Isa Ali,student_9b_22,student1234,parent_9b_22,9B-022
parent,9B,Isa Ali,parent_9b_22,parent1234,,9B-022
student,9B,Salman Hussain,student_9b_23,student1234,parent_9b_23,9B-023
parent,9B,Salman Hussain,parent_9b_23,parent1234,,9B-023
student,9B,Tariq Begum,student_9b_24,student1234,parent_9b_24,9B-024
parent,9B,Tariq Begum,parent_9b_24,parent1234,,9B-024
student,9B,Layla Qureshi,student_9b_25,student1234,parent_9b_25,9B-025
parent,9B,Layla Qureshi,parent_9b_25,parent1234,,9B-025
student,9B,Noor Hassan,student_9b_26,student1234,parent_9b_26,9B-026
parent,9B,Noor Hassan,parent_9b_26,parent1234,,9B-026
student,9B,Sumaya Ali,student_9b_27,student1234,parent_9b_27,9B-027
parent,9B,Sumaya Ali,parent_9b_27,parent1234,,9B-027
student,9B,Rania Hussain,student_9b_28,student1234,parent_9b_28,9B-028
parent,9B,Rania Hussain,parent_9b_28,parent1234,,9B-028
student,9B,Yasmin Begum,student_9b_29,student1234,parent_9b_29,9B-029
parent,9B,Yasmin Begum,parent_9b_29,parent1234,,9B-029
student,9B,Safiya Qureshi,student_9b_30,student1234,parent_9b_30,9B-030
parent,9B,Safiya Qureshi,parent_9b_30,parent1234,,9B-030
